,※一日一人3個以上,,,,,,
,番号,単語・文,発音,意味（韓国語・中国語）,区分,記録日,記録者
,1,設計書,せっけいしょ,설계서・设计书,面接練習,2025/09/22,高 賢賓
,1,整合性,せいごうせい,정합성,面接練習,2025/09/22,高 賢賓
,2,稼働,かどう,가동,面接練習,2025/09/22,高 賢賓
,3,新規,しんき,신규,面接練習,2025/09/22,高 賢賓
,4,結合,けつごう,결합,面接練習,2025/09/22,高 賢賓
,5,権限,けんげん,권한,面接練習,2025/09/22,高 賢賓
,6,明細書,めいさいしょ,명세서,面接練習,2025/09/22,高 賢賓
,7,検証,けんしょう,검증,面接練習,2025/09/22,高 賢賓
,8,改修,かいしゅう,"개수,수리",面接練習,2025/09/22,高 賢賓
,9,随時,ずいじ,수시,面接練習,2025/09/22,ソウハク
,10,施主,せしゅ,시주,書き取り,2025/09/22,イジョンハ
,11,基盤,きばん,기반,面接練習,2025/09/22,ソウハク
,12,ヒアリング,,相手の話を聞き、顧客が抱えている悩みや課題、ニーズなどの情報を収集すること / 사정 청취,書き取り,2025/09/22,ソウハク
,13,照会,しょうかい,조회,面接練習,2025/09/22,イジョンハ
,14,仕様書,しようしょ,사양서,面接練習,2025/09/22,イジョンハ
,15,もう一度伺っても宜しいでしょうか？,もういちどうかがってもよろしいでしょうか,다시 한번 여쭤봐도 괜찮을까요?,先生,2025/09/22,加藤（必須）
,16,先送り,さきおくり,判断や処理を、日時を延ばして行うことにすること,書き取り,2025/09/24,ソウハク
,17,視座,しざ,物事を見る際の立場や、どのような高さ・角度から物事を捉えるかという観点のこと,書き取り,2025/09/24,ソウハク
,18,抜け漏れ,ぬけもれ,누락,書き取り,2025/09/24,コスンミン
,19,しづらい,しづらい,하기 어렵다,書き取り,2025/09/24,コスンミン
,20,橋渡し,はしわたし,중개,書き取り,2025/09/24,コスンミン
,21,想定,そうてい,상정,書き取り,2025/09/24,コスンミン
,22,立場,たちば,입장,書き取り,2025/09/24,コスンミン
,23,洗い出し,あらいだし,"빠짐없이 찾아내 목록화하기, 정리하기
隠れているものや曖昧なものを、一つ一つはっきりさせること。特に問題点・課題・要件などを漏れなく見つけ出す作業を指す。",書き取り,2025/09/24,チェユジン
,24,実践,じっせん,"실천
理論や知識を、実際の場面や行動に移して行うこと。学んだことを実際にやってみるという意味を持つ。",書き取り,2025/09/24,チェユジン
,25,セオリー, ,"이론, theory
理論や基本的な考え方を指すカタカナ語。学問や実務における一般的な原理や原則を意味する。",書き取り,2025/09/24,チェユジン
,26,業務,ぎょうむ,업무,書き取り,2025/09/24,イジョンハ
,27,表現,ひょうげん,표현,書き取り,2025/09/24,イジョンハ
,28,教科書,きょうかしょ,교과서,書き取り,2025/09/24,イジョンハ
,29,貢献,こうけん,공헌,面接練習,2025/09/25,ソウハク
,30,転売,てんばい,전매,書き取り,2025/09/25,ソウハク
,31,考慮,こうりょ,そのことをよく考えてみること고려하다,書き取り,2025/09/25,ソウハク
,32,取捨,しゅしゃ,취사,書き取り,2025/09/25,ソウハク
,33,一覧,いちらん,일람,書き取り,2025/09/25,ゴヒョンビン
,34,金額,きんがく,금액,書き取り,2025/09/25,いジョンハ
,35,単純,たんじゅん,단순,書き取り,2025/09/25,いジョンハ
,36,検討,けんとう,검토,書き取り,2025/09/25,いジョンハ
重複削除,37,,,,書き取り,2025/09/25,いジョンハ
,38,収支,しゅうし,"수지, 수입과 지출.収支の決算수지 결산",書き取り,2025/09/25,ゴヒョンビン
重複削除,39,,,,書き取り,2025/09/25,ゴヒョンビン
重複削除,40,,,,書き取り,2025/09/25,コスンミン
