おそらく	N3
かなり	N3
きちんと	N3
しかも	N3
したがって	N3
すっかり	N4
ずっと	N3
せっかく	N2
ただし	N2
たとえ	N3
だんだん	N5
ちゃんと	N3
つまり	N3
ところが	N3
ところで	N3
なかなか	N3
はっきり	N4
まずい	N5
ますます	N3
むしろ	N3
やはり	N3
一方	N3
丁寧	N4
上手	N5
不便	N4
与える	N3
主に	N3
予定	N4
予算	N3
事務所	N4
事故	N4
人口	N4
伝える	N4
伝わる	N2
供給	N3
価値	N3
値段	N4
傾向	N3
全体	N3
写真	N5
冷たい	N5
凝る	N1
出版する	N3
分析する	N3
分野	N3
判断する	N3
利用する	N4
制度	N3
割合	N4
割引	N2
効果	N3
効率	N1
十分	N4
単純	N3
占める	N3
印象	N3
危険	N4
原因	N4
厳しい	N4
参加する	N3
反対する	N4
台所	N5
台風	N4
品質	N1
国際	N4
地震	N4
基準	N2
報告する	N3
増加する	N3
変える	N4
変わる	N4
太い	N5
始まる	N5
姿勢	N2
安全	N4
実力	N2
実績	N2
家族	N5
対応する	N1
対策	N2
届く	N3
届ける	N4
広い	N5
影響	N3
影響する	N3
役割	N3
必要	N4
応じる	N3
怒る	N4
急に	N3
急速	N3
恐ろしい	N3
悔しい	N2
情報	N3
意見	N4
態度	N3
成果	N1
成長する	N3
手段	N3
技術	N4
授業	N5
提供する	N1
揺れる	N4
撮る	N5
改善する	N3
政治	N4
教育	N4
文化	N4
料理	N5
方針	N2
有効	N3
条件	N3
柔らかい	N4
検討する	N3
構造	N2
機能	N3
歌う	N5
正しい	N4
正確	N3
段階	N2
比べる	N4
求める	N3
汗	N3
沸かす	N4
活用する	N3
涼しい	N5
深刻	N3
減少する	N1
準備する	N3
激しい	N3
熱心	N3
片付ける	N4
特に	N4
特徴	N3
狭い	N5
玄関	N5
珍しい	N4
現状	N3
現象	N3
環境	N3
生じる	N3
生産する	N4
産業	N4
申し込む	N3
番組	N4
発表する	N3
盛ん	N4
目標	N3
目的	N3
直接	N3
相変わらず	N2
相当	N3
相談	N3
相談する	N3
真面目	N3
研究	N4
確か	N4
確認する	N3
磨く	N5
示す	N3
社会	N4
程度	N3
積極的	N3
立つ	N5
立場	N3
等しい	N3
管理	N3
範囲	N3
素晴らしい	N3
素直	N2
細い	N5
紹介する	N4
経済	N4
経験	N3
経験する	N3
結果	N3
維持する	N3
羨ましい	N2
習う	N5
習慣	N4
翻訳する	N4
育てる	N4
背景	N1
能力	N3
自由	N4
表現する	N3
製品	N3
複雑	N4
要因	N1
規模	N1
評価	N3
認める	N3
説明する	N4
課題	N1
豊か	N3
財布	N5
責任	N3
資料	N2
賛成する	N3
起きる	N5
起こす	N4
趣味	N4
輸入する	N3
輸出する	N3
途中	N4
連絡する	N4
過程	N2
道具	N4
達成する	N1
適切	N3
重大	N3
重要	N3
鋭い	N3
閉める	N5
開ける	N5
関係	N4
需要	N3
騒がしい	N2
驚く	N4
