あくまで	N2
あらかじめ	N1
あるいは	N3
いかに	N1
いらいら	N3
うろうろ	N2
おびただしい	N1
ぐっすり	N3
ぐっと	N1
こっそり	N2
しきりに	N3
すっきり	N2
すなわち	N3
そのうえ	N2
それゆえ	N1
ぞくぞく	N2
たくましい	N1
たっぷり	N3
だらしない	N2
のんびり	N3
はかない	N1
ひいては	N1
ひたすら	N1
ひとまず	N2
ぴったり	N3
ふわふわ	N2
ぼんやり	N3
まさに	N3
もはや	N1
ニュアンス	N1
プラットフォーム	N2
一概に	N1
不可欠	N1
不当	N1
不況	N1
与党	N1
世論	N1
主張	N3
乏しい	N1
乗り込む	N1
乱す	N1
乱れる	N1
予め	N1
互換	N2
交渉	N1
交渉する	N1
介護	N1
仕様	N1
仕組み	N1
伴う	N1
侵略	N1
促す	N1
促進	N1
信仰	N3
信頼	N3
倒産	N1
倒産する	N1
偏見	N1
側面	N1
傾ける	N1
免れる	N1
前提	N1
動向	N1
固まる	N2
固める	N1
地方	N3
執着	N1
報道	N1
報酬	N1
境界	N2
外交	N3
大いに	N3
大幅	N1
大気	N3
大胆	N1
大臣	N3
大雑把	N2
契約	N3
奮闘する	N1
好ましい	N1
好況	N1
妥協	N1
委託する	N1
媒体	N1
嫉妬	N1
学術	N2
宗派	N1
実態	N1
客観的	N3
家賃	N3
容量	N3
審議する	N1
寺院	N2
対立	N2
局面	N3
崩す	N2
崩れる	N2
工芸	N2
平等	N3
年金	N3
広まる	N1
広める	N2
廃棄物	N1
廃止	N1
廃止する	N1
引き受ける	N2
引き起こす	N1
強引	N2
彫刻	N2
後悔	N1
復旧	N1
徴収する	N1
心強い	N1
心細い	N1
性質	N2
恥ずかしい	N4
悩ましい	N1
情緒	N1
惨い	N1
感染	N1
感謝	N3
慎重	N3
憧れ	N1
憲法	N3
手法	N1
打ち合わせる	N1
打ち消す	N2
批評	N3
承認する	N3
把握	N1
投資する	N1
抱える	N3
抱く	N3
拘留	N1
拠点	N1
拡散する	N1
指示する	N1
採用	N1
採用する	N1
推測	N1
措置	N1
損失	N1
摩擦	N2
改正	N2
政策	N1
整備する	N2
施行	N1
昇進	N1
明瞭	N1
時代	N4
普及する	N2
景気	N3
暫定的	N1
暴風	N1
書道	N2
望ましい	N1
本来	N2
本質	N1
本音	N1
条約	N1
柔軟	N1
核心	N1
根拠	N1
格差	N1
検証	N1
極めて	N1
概して	N1
概念	N1
様相	N1
水準	N3
目覚ましい	N1
直ちに	N3
空しい	N1
紛らわしい	N1
著しい	N1
覆す	N1
見解	N3
観点	N1
謙虚	N2
議会	N3
財政	N1
貿易	N4
賃金	N1
資本	N3
資源	N3
賠償	N1
赤字	N1
起訴	N1
輸入	N3
輸出	N3
辛うじて	N1
迅速	N1
近代	N3
退職	N1
逮捕する	N3
遂げる	N1
過失	N2
道徳	N3
違反	N3
違法	N3
遠慮	N4
選挙	N1
遺産	N1
遺跡	N1
野党	N1
鑑賞	N2
鑑賞する	N2
険しい	N2
障害	N3
革新	N1
頑固	N1
顕著	N1
風習	N1
飛び出す	N3
飛び込む	N2
首相	N3
高まる	N1
高める	N2
黒字	N1
